query_num,mutation,status_code,classification,latency_ms,response_body
1,contrast_1.037,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
2,resize_0.931,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
3,crop_0.011,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
4,blur_0.489,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
5,brightness_1.048,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
6,contrast_1.022,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
7,resize_0.975,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
8,crop_0.025,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
9,blur_0.494,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
10,brightness_1.047,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
11,contrast_1.075,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
12,resize_0.934,-1,request_error,-1,"HTTPConnectionPool(host='localhost', port=6767): Max retries exceeded with url: /api/jobs (Caused by NewConnectionError(""HTTPConnection(host='localhost', port=6767): Failed to establish a new connection: [Errno 111] Connection refused""))"
